Concurrency,QPS,P50,P99
1,20.92,47.8,49.5
2,42.26,47.2,49.9
3,63.84,46.9,48.9
6,127.55,47.0,49.1
9,192.36,46.7,49.4
12,256.43,46.7,49.3
15,317.65,47.1,50.5
18,382.60,46.9,50.1
21,450.21,46.4,49.6
24,515.05,46.5,49.7
27,577.37,46.6,50.1
30,637.01,46.8,50.4
33,706.22,46.5,50.2
36,773.30,46.3,49.7
39,837.42,46.3,49.8
42,899.61,46.4,50.1
45,959.74,46.6,50.5
48,1026.44,46.5,51.1
51,1092.65,46.4,50.2
54,1158.54,46.3,50.0
57,1216.77,46.5,50.8
60,1274.48,46.8,50.9
63,1344.01,46.6,50.7
66,1406.73,46.6,50.6
69,1468.80,46.7,51.0
72,1523.95,46.9,51.7
75,1582.17,47.1,51.6
78,1645.80,47.0,51.8
81,1702.46,47.2,52.5
84,1757.47,47.4,52.8
87,1806.78,47.7,54.1
90,1863.83,47.9,53.5
93,1916.90,48.1,54.0
96,1966.82,48.4,54.9
99,2020.50,48.5,55.9
102,2061.01,49.0,56.6
105,2103.10,49.4,57.4
108,2157.85,49.5,57.2
111,2204.03,49.7,58.7
114,2252.60,50.0,58.4
117,2286.97,50.6,59.0
120,2336.28,50.8,58.8
