Concurrency,QPS,P50,P99
1,158.15,6.4,7.9
2,348.69,5.6,8.1
3,568.94,5.2,7.2
6,1179.47,5.0,7.1
9,1557.08,5.7,8.1
12,1841.42,6.4,9.3
15,2037.51,7.2,10.7
18,2176.93,8.1,12.4
21,2244.93,9.1,14.4
24,2295.85,10.1,16.5
27,2437.98,10.7,17.7
30,2578.00,11.4,17.7
33,2681.84,12.0,18.8
36,2696.56,13.0,21.2
39,2742.80,13.8,23.2
42,2772.78,14.6,25.4
45,2865.51,15.3,25.4
48,2939.10,15.9,26.5
51,2942.32,16.8,28.2
54,2989.14,17.5,30.3
57,3032.92,18.2,31.8
60,3022.34,19.0,35.7
63,3029.12,20.0,35.8
66,3000.38,21.1,39.4
69,3074.98,21.6,38.7
72,3111.61,22.3,39.3
75,3139.05,23.0,41.4
78,3143.12,23.9,42.7
81,3100.66,25.0,46.2
84,3125.56,25.9,46.5
87,3131.66,26.7,47.5
90,3146.99,27.5,49.2
93,3122.81,28.7,50.1
96,3076.70,30.0,52.3
99,3153.65,30.1,52.6
102,3190.99,30.8,52.6
105,3182.40,31.9,53.3
108,3200.10,32.6,54.3
111,3153.26,34.2,56.1
114,3169.47,35.0,56.8
117,3172.88,35.6,59.1
120,3150.94,37.0,60.0
