Concurrency,QPS,P50,P99
1,431.47,2.3,2.9
2,723.45,2.8,3.9
3,1240.55,2.4,3.6
6,2302.60,2.5,4.5
9,3146.96,2.8,5.2
12,3752.77,3.0,6.1
15,3987.45,3.6,7.3
18,4092.30,4.2,8.8
21,4338.24,4.6,9.4
24,4515.92,5.2,10.1
27,4700.61,5.6,10.6
30,4784.78,6.1,11.3
33,4916.55,6.6,11.8
36,5074.15,6.9,12.3
39,5138.38,7.5,13.0
42,5168.46,8.0,13.7
45,5073.80,8.7,15.4
48,5104.27,9.2,16.3
51,5174.55,9.6,17.4
54,5177.64,9.8,19.5
57,5201.93,10.2,20.3
60,5111.38,10.5,22.6
63,5097.41,10.0,25.3
66,5178.39,10.9,25.9
69,5171.75,11.0,27.4
72,5157.10,10.3,30.0
75,5020.63,10.9,32.9
78,5119.13,11.7,32.6
81,5195.82,10.3,35.1
84,5184.45,10.4,36.9
87,5185.45,10.4,38.7
90,5096.04,11.2,40.2
93,5112.35,10.8,43.1
96,5185.46,10.5,43.5
99,5202.99,11.6,45.0
102,5193.28,11.1,47.1
105,5074.66,11.9,50.0
108,5092.88,13.3,51.0
111,5188.29,11.3,52.1
114,5166.45,12.3,52.8
117,5150.23,11.0,56.7
120,5037.24,11.1,59.6
