Concurrency,QPS,P50,P99
1,232.88,4.3,5.2
2,474.51,4.2,5.8
3,753.26,4.0,5.4
6,1536.26,3.8,5.6
9,2219.53,4.0,6.5
12,2718.82,4.3,7.6
15,3134.21,4.6,8.6
18,3504.61,4.9,9.6
21,3727.88,5.3,10.9
24,3972.99,5.7,11.8
27,4000.96,6.4,13.0
30,4170.95,6.8,13.9
33,4334.86,7.3,14.5
36,4425.22,7.7,15.6
39,4506.23,8.3,16.5
42,4470.74,9.2,17.5
45,4550.60,9.7,18.7
48,4682.26,10.2,18.9
51,4728.50,10.8,19.9
54,4772.84,11.1,21.7
57,4689.40,11.9,23.9
60,4765.85,12.4,23.8
63,4846.19,12.6,25.7
66,4869.56,13.3,26.1
69,4863.61,13.7,27.2
72,4754.29,14.4,29.7
75,4778.39,14.7,32.4
78,4851.80,15.2,33.8
81,4926.93,15.5,33.0
84,4925.15,16.6,33.2
87,4763.83,16.7,38.8
90,4863.52,17.8,36.0
93,4897.52,17.5,39.7
96,4938.47,18.2,38.0
99,4921.65,18.6,42.0
102,4830.15,20.6,44.4
105,4849.96,19.5,47.8
108,4852.78,20.1,45.9
111,4886.63,19.0,52.7
114,4942.80,21.4,51.4
117,4774.55,20.1,56.9
120,4827.60,23.5,56.5
