Concurrency,QPS,P50,P99
1,477.32,2.1,2.5
2,1021.89,1.9,3.0
3,1378.06,2.1,3.1
4,1747.61,2.3,3.3
5,1912.77,2.6,3.7
6,1936.62,3.1,4.2
7,1931.30,3.6,4.6
8,1938.39,4.1,5.4
9,1942.39,4.7,5.8
10,1939.49,5.2,6.3
11,1942.58,5.7,6.9
12,1928.12,6.2,7.5
13,1929.01,6.7,7.9
14,1927.18,7.3,8.5
15,1933.76,7.8,9.1
16,1938.45,8.3,9.5
17,1917.60,8.9,10.2
18,1933.64,9.3,10.7
19,1926.95,9.9,11.2
20,1929.16,10.4,11.7
21,1931.25,10.9,12.4
22,1927.47,11.4,12.9
23,1934.78,11.9,13.3
24,1939.87,12.4,13.8
25,1944.93,12.9,14.3
26,1937.86,13.4,14.9
27,1928.54,14.0,15.5
28,1939.85,14.4,15.9
29,1925.85,15.1,16.5
30,1933.04,15.5,17.0
31,1939.11,16.0,17.5
32,1920.82,16.7,18.3
33,1916.82,17.2,18.8
34,1934.83,17.6,19.1
35,1916.69,18.2,20.4
36,1912.87,18.8,20.5
37,1919.25,19.3,20.9
38,1929.65,19.7,21.3
39,1931.61,20.2,21.8
40,1921.45,20.8,22.6
41,1917.00,21.4,23.1
42,1911.25,22.0,23.6
