Concurrency,QPS,P50,P99
1,665.57,1.5,1.9
2,1238.10,1.6,2.4
3,1531.00,1.9,3.2
4,1702.82,2.3,4.2
5,1761.34,2.7,6.2
6,1805.17,3.1,7.4
7,1812.91,3.6,7.7
8,1743.10,4.5,8.5
9,1792.74,4.9,9.1
10,1852.39,5.1,9.6
11,1871.50,5.6,10.1
12,1880.31,6.1,10.7
13,1888.84,6.6,11.2
14,1913.47,7.1,11.7
15,1886.62,7.7,12.3
16,1889.15,8.3,13.0
17,1874.20,8.9,13.5
18,1893.44,9.3,13.9
19,1883.21,9.9,14.5
20,1887.57,10.5,14.9
21,1898.52,10.9,15.4
22,1886.88,11.5,16.0
23,1887.06,12.0,16.7
24,1883.79,12.6,17.2
25,1860.00,13.2,18.0
26,1883.04,13.6,18.2
27,1849.78,14.4,19.2
28,1839.27,15.1,19.9
29,1826.78,15.7,20.6
30,1809.37,16.4,21.1
31,1835.54,16.7,21.6
32,1830.00,17.3,22.1
33,1825.30,17.9,22.8
34,1818.31,18.6,23.3
35,1833.48,19.0,23.8
36,1816.53,19.7,24.6
37,1841.74,19.9,24.9
38,1837.31,20.5,25.6
39,1835.07,21.1,25.9
40,1783.76,22.3,27.3
41,1805.67,22.6,27.4
42,1789.27,23.3,28.5
