Concurrency,QPS,P50,P99
1,419.99,2.4,3.1
2,660.00,3.1,4.1
3,1138.72,2.6,3.8
4,1353.71,2.9,4.8
5,1396.23,3.4,6.1
6,1477.02,3.9,6.8
7,1561.60,4.3,7.4
8,1570.60,4.9,8.6
9,1584.10,5.5,9.5
10,1587.60,6.1,10.3
11,1611.67,6.6,10.7
12,1636.05,7.1,11.3
13,1640.16,7.8,11.8
14,1629.20,8.5,12.5
15,1601.38,9.3,13.2
16,1622.12,9.8,13.7
17,1630.39,10.4,14.4
18,1637.18,11.0,14.8
19,1628.77,11.6,15.5
20,1612.49,12.4,16.4
21,1627.52,12.9,16.9
22,1643.07,13.3,17.4
23,1637.42,14.0,17.9
24,1618.79,14.7,18.8
25,1605.98,15.5,19.5
26,1623.29,15.9,20.0
27,1639.88,16.5,20.4
28,1634.43,17.1,21.2
29,1624.69,17.8,21.9
30,1604.24,18.7,22.8
31,1624.39,19.0,23.2
32,1639.18,19.5,23.6
33,1641.93,20.0,24.1
34,1619.13,20.9,25.1
35,1607.90,21.7,25.9
36,1620.11,22.2,26.2
37,1632.33,22.6,26.8
38,1635.86,23.2,27.3
39,1618.32,24.1,28.2
40,1608.47,24.8,28.9
41,1631.25,25.1,29.3
42,1635.45,25.6,29.8
