Concurrency,QPS,P50,P99
1,310.22,3.2,4.1
2,683.91,2.9,3.8
3,1045.58,2.9,3.6
6,2167.82,2.8,3.5
9,3315.94,2.7,3.5
12,4392.34,2.7,3.4
15,5431.67,2.8,3.6
18,6602.59,2.7,3.6
21,7721.65,2.7,3.6
24,8762.45,2.7,3.7
27,9722.49,2.8,3.9
30,10629.78,2.8,4.0
33,11574.53,2.8,4.0
36,12493.42,2.8,4.1
39,13224.34,2.9,4.2
42,13880.71,3.0,4.3
45,14457.46,3.1,4.5
48,15095.66,3.1,4.6
51,15802.53,3.2,4.8
54,16318.66,3.3,5.0
57,16712.71,3.4,5.3
60,17194.72,3.4,5.5
63,17402.88,3.5,6.0
66,17614.15,3.6,6.5
69,18021.74,3.7,6.8
72,18305.69,3.8,7.2
75,17971.17,3.9,8.1
78,18560.77,4.0,7.7
81,18782.64,4.0,8.1
84,18841.30,4.1,8.5
87,18914.34,4.2,9.0
90,19052.78,4.4,9.1
93,19245.13,4.4,9.5
96,19223.89,4.5,10.1
99,19214.27,4.6,10.5
102,19203.07,4.7,11.1
105,19465.07,4.8,11.0
108,19346.66,4.9,11.7
111,19542.10,5.0,11.9
114,19464.12,5.0,12.5
117,19347.38,5.1,13.2
120,19390.35,5.2,13.9
123,19473.02,5.2,14.1
126,19886.39,5.6,14.0
129,19779.40,5.7,14.1
132,19588.02,5.7,15.8
135,19683.80,6.2,14.8
138,19873.05,6.1,15.0
141,19618.71,5.9,16.7
144,20011.46,6.1,16.2
147,19779.22,6.3,17.1
150,19816.53,6.2,17.6
153,19892.90,6.4,17.9
156,19887.01,6.6,18.6
159,20119.86,6.9,18.0
162,19902.84,7.0,19.3
165,19939.15,6.9,19.4
168,19988.43,7.1,20.0
171,19952.14,7.3,20.3
174,19923.38,7.2,20.8
177,19905.34,7.4,21.3
180,19979.50,7.8,21.2
183,19972.69,7.5,21.6
186,19956.24,7.3,22.4
189,20032.20,7.7,22.3
192,19914.91,7.5,23.7
195,19872.71,7.8,23.8
198,19993.88,8.0,23.9
201,20029.96,8.3,24.5
204,20084.45,9.0,24.6
207,19822.26,8.0,25.9
210,19718.60,9.1,26.3
213,19949.97,8.6,26.2
216,20036.49,8.8,26.5
219,20128.25,9.6,26.1
222,19393.53,8.5,29.8
225,18958.70,7.9,35.4
228,18606.71,6.6,36.7
231,19039.81,7.9,36.6
234,19891.31,8.8,30.0
237,19973.86,9.3,30.3
240,20025.74,9.3,29.7
243,19945.85,8.8,31.6
246,20022.36,10.1,31.9
249,19973.45,10.0,31.9
252,19783.18,9.0,33.5
255,19999.80,11.0,32.1
258,20096.80,10.2,32.2
261,19913.39,10.0,33.6
264,19846.08,9.0,35.0
267,20052.09,11.2,34.0
270,19830.35,10.9,33.9
273,20024.90,10.4,35.4
276,20199.06,11.5,34.7
279,20048.47,10.6,36.5
282,19643.03,10.4,38.8
285,19884.68,11.6,36.7
288,19412.46,10.4,43.2
291,19959.36,12.0,37.8
294,19962.43,9.9,38.4
297,19873.18,10.2,39.1
300,20075.29,11.4,39.6
303,20122.25,11.8,37.8
306,19121.65,8.9,49.8
309,18621.00,6.6,47.5
312,17209.63,4.5,60.5
315,18994.32,7.2,46.8
318,19699.25,10.0,44.7
321,19954.70,11.7,42.6
324,20084.49,9.9,42.1
327,19964.48,13.9,42.3
330,19876.07,11.4,43.9
333,19950.00,10.3,44.5
336,20072.47,15.5,41.7
339,19822.89,11.7,46.1
342,19905.61,15.3,44.4
345,19930.15,14.1,46.6
348,20065.36,14.7,46.2
351,19892.17,12.6,47.1
354,19951.96,13.9,46.4
357,20095.53,16.1,40.4
360,19979.57,12.7,47.8
363,19889.45,15.9,47.8
366,18845.54,6.8,54.7
369,20060.35,12.5,48.6
372,20083.98,14.9,47.7
375,20107.25,13.9,48.9
378,20114.54,15.7,51.0
381,20111.72,12.4,50.4
384,20081.73,14.2,52.3
387,20013.77,14.2,50.7
390,20110.53,14.3,51.1
393,19964.20,10.9,54.0
396,20048.60,14.8,54.3
399,20053.53,14.3,53.3
402,20180.91,15.5,52.0
405,19960.51,13.7,56.0
408,20049.90,15.9,56.0
411,20106.47,15.5,53.5
414,20049.24,13.1,55.9
417,19987.38,18.9,53.6
420,20138.14,13.4,56.5
423,20025.63,10.7,57.8
426,20012.66,14.5,58.6
429,19890.80,12.9,59.1
432,20034.39,17.1,56.9
435,20210.63,18.2,57.4
438,20060.88,18.6,60.2
441,20023.89,17.1,59.0
444,20023.62,11.5,61.2
447,19900.31,13.4,61.9
450,20057.88,12.7,60.6
453,20114.44,13.5,63.6
456,20001.54,11.0,64.0
459,20011.89,16.2,64.5
462,20086.76,13.6,62.5
465,20056.41,15.9,62.5
468,20093.70,17.7,64.1
471,20034.12,21.4,62.8
474,19973.31,14.1,63.9
477,20058.86,19.2,64.2
480,19973.63,11.6,67.1
