Concurrency,QPS,P50,P99
1,244.98,4.1,5.0
2,516.01,3.9,4.7
3,807.58,3.7,4.6
6,1659.59,3.6,4.6
9,2467.06,3.6,4.7
12,3264.31,3.7,4.8
15,3972.23,3.8,5.0
18,4665.19,3.8,5.3
21,5346.65,3.9,5.4
24,6000.04,3.9,5.7
27,6654.40,4.0,5.8
30,7178.31,4.1,6.1
33,7675.44,4.2,6.3
36,8113.68,4.4,6.6
39,8613.32,4.4,6.9
42,9000.48,4.6,7.1
45,9481.84,4.6,7.3
48,9859.48,4.8,7.6
51,10114.50,4.9,7.9
54,10316.25,5.1,8.2
57,10751.23,5.2,8.6
60,11117.00,5.2,8.8
63,11274.20,5.4,9.3
66,11519.01,5.6,9.6
69,11664.79,5.7,10.1
72,11985.46,5.8,10.4
75,12081.81,6.0,11.1
78,12130.50,6.1,11.6
81,12133.08,6.3,12.5
84,12377.30,6.4,13.1
87,12479.69,6.6,13.2
90,12639.18,6.7,14.0
93,12703.93,6.8,14.9
96,12735.19,7.0,15.1
99,12764.18,7.2,15.7
102,12840.57,7.2,16.8
105,12761.52,7.4,18.0
108,12724.65,7.6,18.3
111,12667.97,7.6,19.3
114,12762.53,7.9,19.9
117,12859.13,7.9,21.1
120,13004.73,8.1,20.7
123,12913.56,8.3,21.7
126,12805.82,8.6,22.8
129,12970.42,8.7,22.2
132,13010.85,8.8,22.8
135,13003.89,8.8,24.7
138,12922.55,9.1,25.9
141,12840.12,9.1,26.1
144,12944.15,9.4,26.5
147,13111.67,9.4,26.2
150,13042.97,9.9,27.6
153,12891.21,10.3,28.5
156,12791.47,10.3,36.3
159,13111.71,10.5,29.7
162,13144.73,10.8,30.1
165,12888.46,11.1,42.4
168,13109.56,11.2,31.3
171,13119.46,11.4,34.2
174,13189.89,11.6,33.7
177,13303.66,11.6,41.4
180,13389.37,12.0,31.7
183,13162.84,12.0,34.7
186,13343.08,11.9,37.9
189,13538.64,12.2,34.4
192,13374.57,11.9,37.6
195,13394.56,12.9,38.5
198,13080.01,12.2,57.8
201,13632.16,13.3,42.1
204,13260.45,13.3,47.8
207,13403.70,13.7,39.7
210,13311.28,14.5,42.0
213,13224.73,14.0,55.8
216,13409.34,13.6,51.6
219,13512.56,13.8,41.7
222,13566.22,15.0,45.1
225,13500.29,14.6,44.8
228,13397.50,15.4,46.4
231,13658.03,15.5,44.4
234,13391.87,15.7,47.5
237,13584.64,14.8,55.0
240,13438.42,16.5,49.2
243,13143.04,16.4,62.0
246,13613.66,16.5,50.5
249,13687.15,16.7,49.4
252,13376.49,17.0,56.6
255,12967.43,16.3,83.6
258,13550.08,17.4,52.7
261,13671.79,17.3,47.4
264,13248.81,17.5,60.4
267,13224.00,18.1,75.7
270,13160.32,18.0,69.3
273,13427.86,17.9,57.8
276,13650.59,17.8,51.5
279,13569.70,18.3,54.3
282,13761.22,19.0,49.5
285,13146.51,17.6,86.5
288,13683.64,17.0,89.4
291,13734.21,19.0,63.2
294,13561.29,19.5,55.4
297,13550.03,19.9,55.6
300,13344.81,18.4,94.5
303,13525.35,19.8,68.5
306,13920.33,21.3,58.9
309,13807.49,20.4,57.4
312,13828.88,20.5,68.8
315,13286.35,19.9,92.9
318,13522.41,20.1,61.4
321,13630.65,21.2,78.8
324,13596.49,21.1,61.1
327,13475.87,21.6,64.6
330,13697.86,21.7,66.6
333,13845.04,19.9,82.9
336,13813.84,22.2,64.7
339,13531.46,21.9,77.2
342,13253.40,20.4,83.7
345,13946.14,22.1,63.0
348,13774.18,22.5,70.4
351,13786.86,23.2,82.2
354,13889.19,22.6,72.3
357,13799.92,22.5,66.0
360,13880.01,23.4,67.5
363,13464.11,24.4,70.1
366,13489.82,24.2,81.2
369,12593.91,16.2,
372,14197.00,20.7,78.5
375,14259.38,23.9,62.3
378,13504.65,24.8,81.5
381,13459.89,23.0,76.1
384,13864.22,24.6,81.7
387,14053.41,25.1,73.1
390,12676.97,17.5,
393,13723.18,25.5,88.7
396,14253.45,23.5,85.2
399,13457.18,25.1,84.5
402,14187.71,26.8,84.3
405,13976.80,25.1,76.0
408,13948.04,27.5,77.2
411,13598.15,27.8,83.1
414,14204.39,26.7,75.5
417,13624.32,23.5,
420,14110.67,26.0,81.4
423,14272.71,26.5,69.2
426,13940.75,27.9,78.0
429,14125.67,26.7,77.9
432,13973.34,27.5,87.5
435,14052.39,28.9,83.6
438,13108.88,28.3,
441,14296.64,26.6,76.3
444,12693.67,21.9,
447,13398.14,25.4,
450,14578.46,27.8,80.5
453,13018.87,21.8,
456,14250.25,27.1,74.6
459,13986.39,30.6,90.7
462,13671.65,29.9,87.5
465,14126.13,31.9,78.6
468,13944.32,30.0,85.2
471,13903.23,30.7,91.7
474,13659.72,31.1,96.2
477,14481.54,29.5,77.5
480,14278.82,32.7,89.7
