Concurrency,QPS,P50,P99
1,259.35,3.9,4.6
2,509.12,3.9,5.3
3,757.64,3.9,5.3
6,1523.30,3.9,5.7
9,2176.37,4.0,6.7
12,2725.06,4.2,7.5
15,3123.19,4.6,8.8
18,3468.85,4.9,9.9
21,3697.91,5.3,11.2
24,3776.55,6.0,12.3
27,3751.18,6.8,14.0
30,3708.10,7.8,15.5
33,3985.02,8.0,15.4
36,4041.31,8.7,16.5
39,4092.93,9.4,17.9
42,4165.15,10.0,19.0
45,4364.40,10.1,19.7
48,3830.16,12.0,26.1
51,3565.21,13.5,28.8
54,4641.09,11.5,22.2
57,4710.30,11.9,23.3
60,4696.65,12.4,26.4
63,4381.09,13.5,31.5
66,4003.28,15.6,34.2
69,4425.18,14.4,34.5
72,4687.71,13.9,32.2
75,4770.08,14.8,32.9
78,4779.90,15.8,33.9
81,4786.60,15.5,35.5
84,4782.95,16.7,35.7
87,4788.30,16.6,38.7
90,4718.85,16.7,41.3
93,4796.96,18.3,39.6
96,4760.38,18.3,46.2
99,4813.29,19.4,43.5
102,4689.23,19.4,47.9
105,4596.57,20.5,51.5
108,4667.92,20.0,55.9
111,4307.43,20.7,61.3
114,4815.33,21.7,50.7
117,4837.71,22.8,49.5
120,4819.20,20.1,55.8
