Concurrency,QPS,P50,P99
1,410.15,2.5,3.1
2,723.68,2.7,3.9
3,1213.20,2.4,3.7
6,2150.09,2.7,4.8
9,2951.57,3.0,5.5
12,3560.94,3.2,6.4
15,3893.25,3.6,7.6
18,4033.12,4.2,8.9
21,4246.25,4.8,9.5
24,4413.92,5.3,10.2
27,4539.87,5.8,10.9
30,4648.73,6.3,11.5
33,4720.78,6.9,12.0
36,4913.29,7.2,12.6
39,4853.77,7.9,13.9
42,4715.29,8.7,16.0
45,4780.60,9.0,17.0
48,4973.25,9.2,17.8
51,4987.83,9.4,19.5
54,4983.48,9.5,21.4
57,4973.89,9.5,23.7
60,4980.01,9.5,25.3
63,4979.76,9.5,27.3
66,4978.25,9.8,29.1
69,4976.21,9.7,30.5
72,4981.00,9.9,32.0
75,4984.67,10.3,33.8
78,4985.36,9.8,35.7
81,4969.55,10.1,38.2
84,4950.89,9.9,39.7
87,4940.07,9.9,41.4
90,4936.05,9.9,43.7
93,4949.48,9.7,46.0
96,4953.09,9.8,47.6
99,4921.69,9.6,49.7
102,4954.16,10.8,50.7
105,4955.44,10.7,52.0
108,4957.56,10.5,54.2
111,4937.73,10.6,56.9
114,4956.19,10.4,57.9
117,4968.92,9.9,59.8
120,4946.54,11.1,61.9
