Concurrency,QPS,P50,P99
1,651.44,1.6,1.9
2,1152.54,1.7,2.5
3,1578.30,1.9,2.6
4,1888.73,2.1,2.7
5,1964.73,2.5,3.8
6,1938.51,3.1,4.4
7,1950.25,3.6,5.0
8,1910.54,4.2,6.0
9,1912.38,4.7,6.4
10,1939.23,5.1,6.7
11,1930.77,5.7,7.4
12,1946.63,6.1,8.0
13,1940.18,6.7,8.4
14,1947.63,7.2,8.8
15,1933.66,7.8,9.5
16,1921.10,8.3,10.2
17,1930.14,8.8,10.6
18,1909.19,9.4,11.2
19,1924.61,9.9,11.7
20,1900.00,10.5,12.4
21,1928.56,10.9,12.7
22,1955.34,11.2,13.0
23,1938.38,11.9,13.7
24,1943.30,12.3,14.3
25,1949.73,12.8,14.6
26,1932.11,13.4,15.3
27,1962.14,13.7,15.6
28,1934.69,14.5,16.4
29,1940.31,14.9,16.9
30,1904.14,15.7,17.7
31,1891.35,16.4,18.5
32,1920.97,16.6,18.7
33,1893.65,17.4,19.6
34,1924.49,17.6,19.7
35,1907.50,18.3,20.4
36,1930.44,18.6,20.8
37,1922.25,19.2,21.4
38,1907.97,19.9,22.0
39,1927.72,20.2,22.3
40,1905.20,20.9,23.2
41,1926.01,21.3,23.4
42,1918.40,21.9,24.2
