Concurrency,QPS,P50,P99
1,98.97,9.8,20.6
2,204.79,9.4,19.4
3,306.91,9.4,19.9
6,645.61,9.0,18.3
9,974.37,8.9,18.1
12,1314.24,8.8,18.1
15,1638.29,8.8,18.0
18,1951.22,8.9,18.2
21,2274.42,8.9,18.2
24,2602.82,8.9,18.1
27,2926.87,8.9,18.3
30,3260.18,8.9,18.2
33,3544.56,9.0,18.5
36,3858.53,9.0,18.5
39,4185.85,9.0,18.4
42,4488.62,9.0,18.7
45,4795.21,9.0,18.8
48,5075.34,9.1,18.8
51,5357.12,9.2,19.0
54,5685.52,9.1,19.1
57,5940.80,9.2,19.3
60,6261.91,9.2,19.3
63,6471.71,9.3,19.7
66,6750.68,9.4,19.9
69,7004.48,9.4,20.3
72,7247.33,9.5,20.4
75,7427.77,9.6,21.1
78,7563.77,9.8,21.6
81,7724.44,10.0,22.2
84,7953.09,10.1,22.4
87,8126.62,10.2,23.1
90,8281.90,10.3,23.3
93,8362.86,10.5,24.2
96,8544.17,10.7,24.3
99,8723.14,10.8,24.6
102,8938.90,10.8,24.7
105,9042.55,11.0,25.3
108,9116.88,11.2,25.8
111,9185.77,11.4,26.4
114,9503.15,11.4,25.7
117,9651.59,11.5,26.0
120,9745.35,11.7,26.4
123,9770.70,11.9,27.1
126,9929.43,12.0,27.3
129,10158.42,12.1,26.9
132,10288.35,12.2,27.0
135,10273.90,12.5,27.9
138,10216.49,12.8,28.8
141,10405.20,12.8,29.0
144,10695.92,12.8,28.3
147,10845.95,12.9,28.3
150,10813.56,13.2,29.1
153,10697.44,13.5,30.8
156,10853.90,13.6,30.6
159,11154.52,13.6,29.7
162,11264.69,13.7,29.9
165,11086.26,14.1,31.5
168,10949.29,14.5,33.2
171,11129.85,14.5,33.5
174,11579.10,14.3,31.3
177,11644.39,14.5,31.6
180,11495.84,14.9,33.0
183,11184.50,15.4,36.7
186,11395.27,15.5,35.0
189,11761.81,15.4,33.5
192,11723.80,15.6,34.4
195,11666.58,15.9,35.2
198,11513.62,16.3,37.6
201,11582.32,16.5,37.3
204,11693.38,16.6,37.2
207,11807.41,16.8,36.9
210,11577.41,17.2,39.8
213,11303.33,17.4,43.2
216,11398.50,17.8,42.4
219,11931.84,17.6,38.1
222,11899.63,17.8,39.7
225,11611.22,18.1,44.1
228,11182.62,18.0,48.3
231,11632.97,18.7,43.7
234,11620.43,18.9,45.2
237,11860.43,19.1,42.2
240,11740.87,19.3,44.6
243,11634.19,19.4,47.2
246,11523.66,19.7,48.5
249,11611.30,20.2,46.4
252,11939.07,20.1,45.0
255,11739.37,20.1,48.5
258,11563.74,20.2,51.3
261,11472.76,19.3,53.9
264,12001.74,21.0,46.3
267,12071.23,20.9,47.5
270,11715.95,20.8,54.2
273,11377.24,19.0,57.7
276,11440.83,19.0,58.6
279,12006.00,21.0,51.6
282,12117.38,21.5,50.7
285,11830.95,21.7,53.7
288,11253.38,19.5,62.3
291,11482.88,21.6,58.4
294,12001.86,22.9,54.5
297,12213.29,23.6,49.0
300,11355.02,19.1,66.0
303,11369.97,18.9,66.8
306,11546.83,20.5,65.1
309,11990.17,24.2,56.3
312,11985.45,23.4,58.8
315,11454.70,19.5,69.2
318,11579.92,20.0,67.1
321,11609.51,19.5,69.4
324,11949.42,24.2,60.5
327,11888.31,23.2,65.3
330,11399.92,22.1,71.3
333,11322.37,19.7,73.7
336,11534.46,23.2,70.0
339,12142.76,23.5,62.7
342,12193.41,25.8,62.4
345,11390.19,19.5,77.5
348,11522.46,19.8,76.1
351,11678.09,21.4,74.6
354,11799.20,22.2,73.1
357,12004.19,25.3,67.4
360,11578.60,20.9,77.5
363,11662.49,21.2,77.2
366,11716.25,21.8,79.1
369,12073.15,26.1,71.5
372,12044.63,24.4,72.1
375,11423.05,21.8,84.1
378,11730.40,20.8,81.1
381,11887.03,24.5,79.2
384,11959.62,24.4,77.9
387,11915.10,24.5,78.2
390,11308.50,19.3,90.6
393,11515.06,23.8,86.8
396,11744.72,23.6,85.6
399,11942.03,26.3,79.2
402,12010.21,29.4,74.7
405,11544.82,20.8,90.2
408,11470.97,20.4,91.3
411,11610.74,22.3,89.9
414,12007.47,32.2,76.1
417,11902.52,32.2,89.2
420,11158.44,18.4,
423,11482.58,20.1,94.8
426,11693.86,21.0,94.2
429,11862.58,36.0,75.3
432,11710.34,28.3,90.7
435,11642.47,24.4,94.5
438,11213.81,20.6,
441,11789.51,29.5,96.1
444,12012.25,31.4,89.0
447,11842.55,28.5,97.6
450,11638.16,21.4,
453,11604.13,25.3,
456,11836.05,27.0,97.3
459,11827.04,31.1,96.1
462,11621.85,40.1,87.1
465,11105.65,19.9,
468,11434.41,27.4,
471,11797.41,26.0,
474,11928.90,35.4,95.8
477,11669.74,31.7,
480,10999.97,19.5,
