Concurrency,QPS,P50,P99
1,330.87,3.0,3.7
2,698.07,2.9,3.5
3,1068.12,2.8,3.5
6,2209.08,2.7,3.4
9,3392.49,2.7,3.4
12,4707.26,2.6,3.3
15,5936.49,2.5,3.2
18,7115.44,2.5,3.2
21,8256.20,2.6,3.2
24,9389.64,2.6,3.3
27,10534.73,2.6,3.3
30,11683.07,2.6,3.4
33,12628.10,2.6,3.5
36,13669.86,2.6,3.6
39,15040.97,2.6,3.5
42,16004.58,2.6,3.5
45,17078.51,2.6,3.6
48,18108.63,2.6,3.6
51,19016.44,2.7,3.7
54,20240.58,2.7,3.7
57,21286.37,2.7,3.7
60,22217.64,2.7,3.8
63,23387.44,2.7,3.8
66,24115.35,2.7,3.9
69,25282.23,2.7,3.8
72,26459.66,2.7,3.9
75,27221.21,2.7,3.9
78,28001.87,2.8,4.0
81,28706.36,2.8,4.1
84,29772.57,2.8,4.1
87,30648.41,2.8,4.1
90,31725.04,2.8,4.2
93,32288.31,2.8,4.2
96,33307.23,2.8,4.3
99,33715.94,2.9,4.4
102,34515.26,2.9,4.6
105,35656.71,2.9,4.4
108,36657.70,2.9,4.4
111,37079.64,2.9,4.5
114,37969.89,3.0,4.5
117,38509.09,3.0,4.6
120,39372.65,3.0,4.6
123,39570.45,3.0,4.7
126,40465.20,3.0,4.8
129,41112.14,3.1,4.9
132,41736.81,3.1,4.9
135,42425.99,3.1,5.0
138,42789.10,3.1,5.0
141,43394.11,3.2,5.1
144,44079.49,3.2,5.1
147,44671.46,3.2,5.2
150,45199.01,3.2,5.3
153,45708.34,3.3,5.4
156,46435.99,3.3,5.4
159,46900.31,3.3,5.5
162,47015.00,3.4,5.6
165,47650.96,3.4,5.6
168,47993.12,3.4,5.8
171,48593.44,3.4,5.8
174,48941.46,3.5,5.9
177,49547.22,3.5,5.9
180,49856.26,3.5,6.0
183,50285.60,3.5,6.1
186,49825.96,3.6,6.2
189,51030.37,3.6,6.3
192,51303.83,3.6,6.3
195,51591.31,3.7,6.4
198,51897.11,3.7,6.5
201,52222.30,3.8,6.6
204,52655.80,3.8,6.7
207,53170.42,3.8,6.7
210,53304.09,3.8,6.8
213,53723.02,3.9,6.9
216,54221.89,3.9,6.9
219,54625.86,3.9,6.9
222,55088.59,3.9,7.0
225,55128.61,4.0,7.1
228,55777.60,4.0,7.1
231,55427.81,4.0,7.2
234,56491.90,4.0,7.2
237,56658.73,4.1,7.3
240,56690.50,4.1,7.4
243,57202.93,4.1,7.5
246,57553.65,4.2,7.5
249,57956.71,4.2,7.6
252,58172.39,4.2,7.6
255,57207.90,4.2,7.7
258,58705.11,4.3,7.7
261,59381.87,4.3,7.7
264,59410.43,4.3,7.8
267,59532.82,4.3,7.8
270,59936.96,4.4,7.9
273,60021.13,4.4,8.0
276,60179.21,4.4,8.1
279,60013.87,4.5,8.1
282,60772.90,4.5,8.2
285,61037.95,4.5,8.2
288,61543.27,4.5,8.2
291,61910.56,4.5,8.3
294,62462.15,4.6,8.3
297,62745.47,4.6,8.3
300,63169.93,4.6,8.4
303,63135.40,4.6,8.4
306,63451.38,4.7,8.5
309,63543.38,4.7,8.7
312,64122.88,4.7,8.6
315,63947.48,4.7,8.8
318,64346.06,4.8,8.8
321,64314.85,4.8,8.9
324,64372.53,4.8,9.0
327,64913.38,4.9,8.9
330,64968.04,4.9,9.0
333,64807.36,4.9,9.2
336,65442.19,4.9,9.1
339,65803.43,4.9,9.1
342,65805.37,5.0,9.3
345,66152.95,5.0,9.3
348,66068.44,5.0,9.4
351,65442.86,5.1,9.8
354,65906.73,5.1,9.7
357,66312.23,5.1,9.7
360,65401.15,5.2,10.1
363,66391.49,5.2,9.9
366,66434.71,5.2,10.1
369,65924.32,5.2,10.4
372,66065.52,5.3,10.4
375,66523.74,5.3,10.3
378,65895.66,5.3,10.8
381,66494.78,5.4,10.6
384,66595.21,5.4,10.7
387,66410.30,5.4,10.9
390,66385.36,5.4,11.1
393,65829.41,5.3,11.5
396,66420.54,5.5,11.2
399,66480.08,5.5,11.2
402,66618.70,5.5,11.4
405,66108.52,5.5,11.9
408,66672.90,5.7,11.2
411,66047.31,5.7,11.7
414,66509.19,5.8,11.5
417,66833.20,5.8,11.5
420,66263.83,5.8,11.8
423,66064.18,5.8,12.2
426,66304.17,5.8,12.1
429,65503.56,5.8,12.7
432,66314.93,5.9,12.4
435,65893.18,5.8,12.8
438,66207.99,5.8,12.9
441,65893.06,5.9,13.1
444,65973.72,6.2,12.7
447,66363.06,6.0,12.9
450,66750.59,6.2,12.7
453,66513.14,5.9,13.3
456,66235.80,5.9,13.6
459,66872.76,6.0,13.2
462,65812.58,6.0,14.1
465,66700.93,6.2,13.4
468,66565.29,5.8,14.2
471,66367.16,5.6,14.6
474,66342.99,5.7,14.6
477,66585.79,5.8,14.6
480,65209.73,5.4,15.7
