Concurrency,QPS,P50,P99
1,443.93,2.3,2.8
2,875.92,2.3,3.3
3,1283.56,2.3,3.4
6,2410.60,2.5,3.6
9,3519.21,2.6,3.7
12,4472.24,2.7,3.9
15,4932.50,3.0,4.7
18,4955.04,3.5,6.6
21,4951.42,4.0,8.1
24,5067.24,4.4,10.1
27,5077.44,4.9,12.3
30,4995.79,5.3,14.4
33,4944.28,5.8,16.7
36,5000.10,6.2,18.2
39,5053.33,6.0,21.3
42,5024.68,6.9,22.0
45,4960.66,6.3,27.2
48,4752.21,7.2,29.5
51,4813.75,7.0,32.6
54,4891.42,6.9,35.0
57,4922.00,7.2,37.1
60,4861.95,8.8,39.1
63,4793.59,6.6,43.2
66,4817.96,6.7,45.1
69,4938.75,6.1,46.1
72,4911.90,7.0,48.9
75,4824.12,8.5,49.7
78,4714.86,8.7,53.7
81,4786.18,8.0,55.6
84,4946.40,8.5,54.3
87,4944.16,12.6,51.1
90,4878.28,8.4,59.3
93,4895.73,7.5,62.1
96,4968.19,7.0,63.5
99,4974.03,8.6,63.4
102,5008.55,15.0,62.0
105,4911.40,11.7,67.9
108,4935.50,7.4,72.8
111,4982.28,14.7,66.2
114,5039.64,10.1,71.3
117,4987.51,12.8,72.0
120,4919.38,11.0,75.5
