Concurrency,QPS,P50,P99
1,266.73,3.8,4.5
2,543.40,3.7,4.8
3,816.68,3.7,4.9
6,1576.21,3.8,5.3
9,2329.54,3.8,5.6
12,2978.68,4.0,6.0
15,3553.92,4.2,6.7
18,3952.82,4.4,7.9
21,4138.74,4.8,9.8
24,4384.02,5.1,11.1
27,4544.08,5.4,12.8
30,4641.11,5.8,14.6
33,4690.01,6.2,15.8
36,4634.88,6.9,17.9
39,4701.44,7.2,20.0
42,4783.97,7.6,21.2
45,4799.20,8.3,23.2
48,4806.66,8.7,25.1
51,4716.53,9.6,27.4
54,4788.51,9.6,29.4
57,4766.69,10.5,30.5
60,4857.81,11.2,31.0
63,4836.16,11.4,34.9
66,4680.28,12.3,37.7
69,4826.08,12.5,37.1
72,4854.21,13.2,40.0
75,4889.26,13.2,40.7
78,4898.15,14.6,39.8
81,4785.29,15.0,44.9
84,4778.40,15.3,46.5
87,4889.16,15.7,46.9
90,4890.18,16.6,46.6
93,4765.82,16.5,55.5
96,4764.76,18.5,49.4
99,4782.47,16.9,57.3
102,4895.42,17.6,55.9
105,4892.67,17.8,58.9
108,4851.28,17.5,61.4
111,4715.69,17.8,66.3
114,4850.95,19.8,60.8
117,4897.14,22.8,57.7
120,4882.58,20.2,65.8
